city,term,url
Rochester,legal services,"https://www.google.com/maps/search/rochester+new+york+legal+services/@43.168,-77.6162,12z/"
Fresno,legal services,"https://www.google.com/maps/search/fresno+california+legal+services/@36.783,-119.7939,12z/"
Allentown,legal services,"https://www.google.com/maps/search/allentown+pennsylvania+legal+services/@40.5961,-75.4756,12z/"
Springfield,legal services,"https://www.google.com/maps/search/springfield+massachusetts+legal+services/@42.1155,-72.5395,12z/"
Grand Rapids,legal services,"https://www.google.com/maps/search/grand+rapids+michigan+legal+services/@42.9619,-85.6562,12z/"
Mission Viejo,legal services,"https://www.google.com/maps/search/mission+viejo+california+legal+services/@33.6096,-117.6551,12z/"
Albany,legal services,"https://www.google.com/maps/search/albany+new+york+legal+services/@42.6664,-73.7987,12z/"
New Haven,legal services,"https://www.google.com/maps/search/new+haven+connecticut+legal+services/@41.3113,-72.9246,12z/"
Worcester,legal services,"https://www.google.com/maps/search/worcester+massachusetts+legal+services/@42.2705,-71.8079,12z/"
Staten Island,legal services,"https://www.google.com/maps/search/staten+island+new+york+legal+services/@40.5834,-74.1496,12z/"
Harrisburg,legal services,"https://www.google.com/maps/search/harrisburg+pennsylvania+legal+services/@40.2752,-76.8843,12z/"
Long Beach,legal services,"https://www.google.com/maps/search/long+beach+california+legal+services/@33.7977,-118.167,12z/"
Lancaster,legal services,"https://www.google.com/maps/search/lancaster+pennsylvania+legal+services/@40.042,-76.3012,12z/"
Poughkeepsie,legal services,"https://www.google.com/maps/search/poughkeepsie+new+york+legal+services/@41.695,-73.9211,12z/"
Oakland,legal services,"https://www.google.com/maps/search/oakland+california+legal+services/@37.7904,-122.2166,12z/"
Syracuse,legal services,"https://www.google.com/maps/search/syracuse+new+york+legal+services/@43.0407,-76.1437,12z/"
Stockton,legal services,"https://www.google.com/maps/search/stockton+california+legal+services/@37.9765,-121.3109,12z/"
Oxnard,legal services,"https://www.google.com/maps/search/oxnard+california+legal+services/@34.1964,-119.1815,12z/"
Modesto,legal services,"https://www.google.com/maps/search/modesto+california+legal+services/@37.6375,-121.0028,12z/"
Anaheim,legal services,"https://www.google.com/maps/search/anaheim+california+legal+services/@33.839,-117.8574,12z/"
Santa Ana,legal services,"https://www.google.com/maps/search/santa+ana+california+legal+services/@33.7367,-117.8819,12z/"
Ann Arbor,legal services,"https://www.google.com/maps/search/ann+arbor+michigan+legal+services/@42.2759,-83.731,12z/"
St. Paul,legal services,"https://www.google.com/maps/search/st.+paul+minnesota+legal+services/@44.9478,-93.1039,12z/"
Trenton,legal services,"https://www.google.com/maps/search/trenton+new+jersey+legal+services/@40.2237,-74.7641,12z/"
Round Lake Beach,legal services,"https://www.google.com/maps/search/round+lake+beach+illinois+legal+services/@42.3791,-88.0811,12z/"
Newark,legal services,"https://www.google.com/maps/search/newark+new+jersey+legal+services/@40.7245,-74.1725,12z/"
Reading,legal services,"https://www.google.com/maps/search/reading+pennsylvania+legal+services/@40.34,-75.9267,12z/"
Chula Vista,legal services,"https://www.google.com/maps/search/chula+vista+california+legal+services/@32.6281,-117.0144,12z/"
Jersey City,legal services,"https://www.google.com/maps/search/jersey+city+new+jersey+legal+services/@40.7184,-74.0686,12z/"
Aguadilla,legal services,"https://www.google.com/maps/search/aguadilla+puerto+rico+legal+services/@18.4382,-67.1537,12z/"
Norfolk,legal services,"https://www.google.com/maps/search/norfolk+virginia+legal+services/@36.8945,-76.259,12z/"
York,legal services,"https://www.google.com/maps/search/york+pennsylvania+legal+services/@39.9651,-76.7315,12z/"
Arlington,legal services,"https://www.google.com/maps/search/arlington+virginia+legal+services/@38.8786,-77.1011,12z/"
Hialeah,legal services,"https://www.google.com/maps/search/hialeah+florida+legal+services/@25.8696,-80.3045,12z/"
Spring Valley,legal services,"https://www.google.com/maps/search/spring+valley+nevada+legal+services/@36.0952,-115.2636,12z/"
Tacoma,legal services,"https://www.google.com/maps/search/tacoma+washington+legal+services/@47.2431,-122.4531,12z/"
Fontana,legal services,"https://www.google.com/maps/search/fontana+california+legal+services/@34.0968,-117.4599,12z/"
Santa Barbara,legal services,"https://www.google.com/maps/search/santa+barbara+california+legal+services/@34.4285,-119.7202,12z/"
Yonkers,legal services,"https://www.google.com/maps/search/yonkers+new+york+legal+services/@40.9466,-73.8673,12z/"
Huntington Beach,legal services,"https://www.google.com/maps/search/huntington+beach+california+legal+services/@33.696,-118.0018,12z/"
Glendale,legal services,"https://www.google.com/maps/search/glendale+california+legal+services/@34.1819,-118.2468,12z/"
Aurora,legal services,"https://www.google.com/maps/search/aurora+illinois+legal+services/@41.7638,-88.2902,12z/"
Sunrise Manor,legal services,"https://www.google.com/maps/search/sunrise+manor+nevada+legal+services/@36.1783,-115.0487,12z/"
Paradise,legal services,"https://www.google.com/maps/search/paradise+nevada+legal+services/@36.0872,-115.1355,12z/"
Tempe,legal services,"https://www.google.com/maps/search/tempe+arizona+legal+services/@33.3881,-111.9319,12z/"
Salinas,legal services,"https://www.google.com/maps/search/salinas+california+legal+services/@36.6883,-121.6317,12z/"
Erie,legal services,"https://www.google.com/maps/search/erie+pennsylvania+legal+services/@42.1167,-80.0733,12z/"
Fort Lauderdale,legal services,"https://www.google.com/maps/search/fort+lauderdale+florida+legal+services/@26.1412,-80.1464,12z/"
Rancho Cucamonga,legal services,"https://www.google.com/maps/search/rancho+cucamonga+california+legal+services/@34.1247,-117.5667,12z/"
Garden Grove,legal services,"https://www.google.com/maps/search/garden+grove+california+legal+services/@33.7787,-117.9601,12z/"
Pembroke Pines,legal services,"https://www.google.com/maps/search/pembroke+pines+florida+legal+services/@26.0128,-80.3382,12z/"
Santa Cruz,legal services,"https://www.google.com/maps/search/santa+cruz+california+legal+services/@36.9789,-122.0346,12z/"
